221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,222,216,217
196,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,238,239
218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,88
240,215,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,182,183,183,183,184,-1,-1,-1,110
105,106,107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204,227,227,227,206,-1,-1,-1,110
127,128,129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204,206,-1,204,206,-1,-1,-1,110
149,150,151,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204,206,-1,204,206,-1,-1,-1,110
90,94,95,95,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204,206,-1,204,206,-1,-1,-1,110
112,116,117,117,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204,206,-1,204,206,-1,-1,-1,110
112,116,119,120,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204,206,-1,204,206,-1,-1,-1,110
112,116,117,117,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204,193,194,195,206,-1,-1,-1,110
112,116,119,120,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204,207,183,208,206,-1,-1,-1,132
112,138,139,139,140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204,205,205,205,206,182,183,183,184
113,89,89,89,89,89,89,89,89,89,89,89,89,89,89,90,226,227,227,227,228,226,227,227,228
111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,113,89,89,89,89,89,89,89,89,90
